部数\\頁数, 12, 14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,160,162,164,166,168,170,172,174,176,178,180,182,184
1300,126400,130900,135500,140100,144700,149300,153800,158400,163000,167600,172100,176700,181300,185900,190500,195000,199600,204200,208800,213400,217900,222500,227100,231700,236200,240800,245400,250000,254600,259100,263700,268300,272900,277500,282000,286600,291200,295800,300300,304900,309500,314100,318700,323200,327800,332400,337000,341600,346100,350700,355300,359900,364400,369000,373600,378200,382800,387300,391900,396500,401100,405700,410200,414800,419400,424000,428500,433100,437700,442300,446900,451400,456000,460600,465200,469700,474300,478900,483500,488100,492600,497200,501800,506400,511000,515500,520100
1400,134300,139100,143900,148700,153500,158300,163100,167900,172600,177400,182200,187000,191800,196600,201400,206200,210900,215700,220500,225300,230100,234900,239700,244500,249200,254000,258800,263600,268400,273200,278000,282800,287600,292300,297100,301900,306700,311500,316300,321100,325900,330600,335400,340200,345000,349800,354600,359400,364200,368900,373700,378500,383300,388100,392900,397700,402500,407300,412000,416800,421600,426400,431200,436000,440800,445600,450300,455100,459900,464700,469500,474300,479100,483900,488600,493400,498200,503000,507800,512600,517400,522200,527000,531700,536500,541300,546100
1500,142300,147300,152300,157300,162300,167300,172300,177300,182300,187300,192300,197300,202300,207300,212300,217300,222300,227300,232300,237300,242300,247300,252300,257300,262200,267200,272200,277200,282200,287200,292200,297200,302200,307200,312200,317200,322200,327200,332200,337200,342200,347200,352200,357200,362200,367200,372200,377200,382200,387200,392200,397200,402200,407200,412200,417200,422200,427200,432200,437200,442200,447200,452200,457100,462100,467100,472100,477100,482100,487100,492100,497100,502100,507100,512100,517100,522100,527100,532100,537100,542100,547100,552100,557100,562100,567100,572100
1600,150300,155500,160700,165900,171100,176300,181500,186700,191900,197100,202400,207600,212800,218000,223200,228400,233600,238800,244000,249200,254400,259600,264800,270000,275200,280500,285700,290900,296100,301300,306500,311700,316900,322100,327300,332500,337700,342900,348100,353400,358600,363800,369000,374200,379400,384600,389800,395000,400200,405400,410600,415800,421000,426300,431500,436700,441900,447100,452300,457500,462700,467900,473100,478300,483500,488700,493900,499100,504400,509600,514800,520000,525200,530400,535600,540800,546000,551200,556400,561600,566800,572000,577300,582500,587700,592900,598100
1700,158300,163700,169100,174500,179900,185300,190800,196200,201600,207000,212400,217800,223300,228700,234100,239500,244900,250300,255800,261200,266600,272000,277400,282800,288300,293700,299100,304500,309900,315300,320700,326200,331600,337000,342400,347800,353200,358700,364100,369500,374900,380300,385700,391200,396600,402000,407400,412800,418200,423700,429100,434500,439900,445300,450700,456200,461600,467000,472400,477800,483200,488700,494100,499500,504900,510300,515700,521200,526600,532000,537400,542800,548200,553700,559100,564500,569900,575300,580700,586200,591600,597000,602400,607800,613200,618700,624100
1800,166200,171900,177500,183100,188700,194400,200000,205600,211200,216900,222500,228100,233700,239400,245000,250600,256200,261900,267500,273100,278700,284400,290000,295600,301300,306900,312500,318100,323800,329400,335000,340600,346300,351900,357500,363100,368800,374400,380000,385600,391300,396900,402500,408100,413800,419400,425000,430600,436300,441900,447500,453200,458800,464400,470000,475700,481300,486900,492500,498200,503800,509400,515000,520700,526300,531900,537500,543200,548800,554400,560000,565700,571300,576900,582500,588200,593800,599400,605100,610700,616300,621900,627600,633200,638800,644400,650100
1900,174200,180000,185900,191700,197500,203400,209200,215100,220900,226700,232600,238400,244200,250100,255900,261700,267600,273400,279200,285100,290900,296700,302600,308400,314300,320100,325900,331800,337600,343400,349300,355100,360900,366800,372600,378400,384300,390100,395900,401800,407600,413500,419300,425100,431000,436800,442600,448500,454300,460100,466000,471800,477600,483500,489300,495100,501000,506800,512700,518500,524300,530200,536000,541800,547700,553500,559300,565200,571000,576800,582700,588500,594400,600200,606000,611900,617700,623500,629400,635200,641000,646900,652700,658500,664400,670200,676000
2000,182200,188200,194300,200300,206400,212400,218400,224500,230500,236600,242600,248700,254700,260800,266800,272900,278900,284900,291000,297000,303100,309100,315200,321200,327300,333300,339300,345400,351400,357500,363500,369600,375600,381700,387700,393700,399800,405800,411900,417900,424000,430000,436100,442100,448200,454200,460200,466300,472300,478400,484400,490500,496500,502600,508600,514600,520700,526700,532800,538800,544900,550900,557000,563000,569000,575100,581100,587200,593200,599300,605300,611400,617400,623500,629500,635500,641600,647600,653700,659700,665800,671800,677900,683900,689900,696000,702000
2100,190200,196400,202700,208900,215200,221400,227700,233900,240200,246400,252700,258900,265200,271500,277700,284000,290200,296500,302700,309000,315200,321500,327700,334000,340300,346500,352800,359000,365300,371500,377800,384000,390300,396500,402800,409100,415300,421600,427800,434100,440300,446600,452800,459100,465300,471600,477900,484100,490400,496600,502900,509100,515400,521600,527900,534100,540400,546600,552900,559200,565400,571700,577900,584200,590400,596700,602900,609200,615400,621700,628000,634200,640500,646700,653000,659200,665500,671700,678000,684200,690500,696800,703000,709300,715500,721800,728000
2200,198100,204600,211100,217500,224000,230400,236900,243400,249800,256300,262800,269200,275700,282200,288600,295100,301500,308000,314500,320900,327400,333900,340300,346800,353300,359700,366200,372600,379100,385600,392000,398500,405000,411400,417900,424400,430800,437300,443800,450200,456700,463100,469600,476100,482500,489000,495500,501900,508400,514900,521300,527800,534200,540700,547200,553600,560100,566600,573000,579500,586000,592400,598900,605300,611800,618300,624700,631200,637700,644100,650600,657100,663500,670000,676400,682900,689400,695800,702300,708800,715200,721700,728200,734600,741100,747500,754000
